Table ID,Table Title,Table Universe
B21003,VETERAN STATUS BY EDUCATIONAL ATTAINMENT FOR THE CIVILIAN POPULATION 25 YEARS AND OVER,Civilian population 25 years and over
B21004,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY VETERAN STATUS BY SEX FOR THE CIVILIAN POPULATION 18 YEARS AND OVER WITH INCOME,Civilian population 18 years and over with income in the past 12 months
B21005,AGE BY VETERAN STATUS BY EMPLOYMENT STATUS FOR THE CIVILIAN POPULATION 18 TO 64 YEARS ,Civilian population 18 to 64 years
B21100,SERVICE-CONNECTED DISABILITY-RATING STATUS AND RATINGS FOR CIVILIAN VETERANS 18 YEARS AND OVER,Civilian veterans 18 years and over
B22001,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY PRESENCE OF PEOPLE 60 YEARS AND OVER FOR HOUSEHOLDS,Households
B22002,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY PRESENCE OF CHILDREN UNDER 18 YEARS BY HOUSEHOLD TYPE FOR HOUSEHOLDS,Households
B22003,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS,Households
B22005A,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (WHITE ALONE),Households with a householder who is White alone
B22005B,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (BLACK OR AFRICAN AMERICAN ALONE),Households with a householder who is Black or African American alone
B22005C,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Households with a householder who is American Indian and Alaska Native alone
B22005D,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (ASIAN ALONE),Households with a householder who is Asian alone
B22005E,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Households with a householder who is Native Hawaiian and Other Pacific Islander alone
B22005F,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (SOME OTHER RACE ALONE),Households with a householder who is Some Other Race alone
B22005G,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (TWO OR MORE RACES),Households with a householder who is Two or More Races
B22005H,"RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (WHITE ALONE, NOT HISPANIC OR LATINO)","Households with a householder who is White alone, not Hispanic or Latino"
B22005I,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (HISPANIC OR LATINO),Households with a householder who is Hispanic or Latino
B22007,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS,Families
B22008,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS,Households
B22010,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS,Households
B23001,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,Population 16 years and over
B23003,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY AGE OF OWN CHILDREN UNDER 18 YEARS BY EMPLOYMENT STATUS FOR FEMALES 20 TO 64 YEARS,Females 20 to 64 years in households
B23006,EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 25 TO 64 YEARS ,Population 25 to 64 years
B23007,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS,Opposite-sex married-couple families and families maintained by women and men with no spouse present
B23008,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Own children under 18 years in families and subfamilies
B23009,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS,Families
B23010,PRESENCE OF OWN CHILDREN UNDER 18 YEARS IN MARRIED-COUPLE FAMILIES BY WORK EXPERIENCE OF HOUSEHOLDER AND SPOUSE,Married-couple families
B23013,MEDIAN AGE BY SEX FOR WORKERS 16 TO 64 YEARS,Population 16 to 64 years who have worked in the past 12 months
B23018,AGGREGATE USUAL HOURS WORKED IN THE PAST 12 MONTHS BY SEX FOR WORKERS 16 TO 64 YEARS,Population 16 to 64 years who have worked in the past 12 months
B23020,MEAN USUAL HOURS WORKED IN THE PAST 12 MONTHS FOR WORKERS 16 TO 64 YEARS,Population 16 to 64 years who have worked in the past 12 months
B23022,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS,Population 16 to 64 years
B23024,POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE POPULATION 20 TO 64 YEARS ,Population 20 to 64 years for whom poverty status is determined
B23025,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,Population 16 years and over
B23026,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 65 YEARS AND OVER,Civilian population 65 years and over
B23027,"FULL-TIME, YEAR-ROUND WORK STATUS IN THE PAST 12 MONTHS BY AGE FOR THE POPULATION 16 YEARS AND OVER",Population 16 years and over
B24011,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over with earnings
B24012,SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER    ,Civilian employed population 16 years and over with earnings
B24021,"OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over with earnings"
B24022,"SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over with earnings"
B24031,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,Civilian employed population 16 years and over with earnings
B24032,SEX BY INDUSTRY AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER    ,Civilian employed population 16 years and over with earnings
B24041,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over with earnings"
B24042,"SEX BY INDUSTRY AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ","Full-time, year-round civilian employed population 16 years and over with earnings"
B24080,SEX BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over
B24081,CLASS OF WORKER  BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over with earnings
B24082,SEX BY CLASS OF WORKER AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE  CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,Civilian employed population 16 years and over with earnings
B24090,"SEX BY CLASS OF WORKER FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over"
B24091,"CLASS OF WORKER BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over with earnings"
B24092,"SEX BY CLASS OF WORKER AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ","Full-time, year-round civilian employed population 16 years and over with earnings"
B24114,DETAILED OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over
B24115,DETAILED OCCUPATION FOR THE CIVILIAN EMPLOYED MALE POPULATION 16 YEARS AND OVER,Civilian employed male population 16 years and over
B24116,DETAILED OCCUPATION FOR THE CIVILIAN EMPLOYED FEMALE POPULATION 16 YEARS AND OVER,Civilian employed female population 16 years and over
B24121,"DETAILED OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over with earnings"
B24122,"DETAILED OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED MALE POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed male population 16 years and over with earnings"
B24123,"DETAILED OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED FEMALE POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed female population 16 years and over with earnings"
B24124,"DETAILED OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed population 16 years and over"
B24125,"DETAILED OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED MALE POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed male population 16 years and over"
B24126,"DETAILED OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED FEMALE POPULATION 16 YEARS AND OVER","Full-time, year-round civilian employed female population 16 years and over"
B24134,DETAILED INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,Civilian employed population 16 years and over
B24135,DETAILED INDUSTRY FOR THE CIVILIAN EMPLOYED MALE POPULATION 16 YEARS AND OVER,Civilian employed male population 16 years and over
B24136,DETAILED INDUSTRY FOR THE CIVILIAN EMPLOYED FEMALE POPULATION 16 YEARS AND OVER,Civilian employed female population 16 years and over
B25001,HOUSING UNITS,Housing units
B25002,OCCUPANCY STATUS,Housing units
B25003,TENURE,Occupied housing units
B25003A,TENURE (WHITE ALONE HOUSEHOLDER),Occupied housing units with a householder who is White alone
B25003B,TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),Occupied housing units with a householder who is Black or African American alone
B25003C,TENURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),Occupied housing units with a householder who is American Indian and Alaska Native alone
B25003D,TENURE (ASIAN ALONE HOUSEHOLDER),Occupied housing units with a householder who is Asian alone
B25003E,TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone
B25003F,TENURE (SOME OTHER RACE ALONE HOUSEHOLDER),Occupied housing units with a householder who is Some Other Race alone
B25003G,TENURE (TWO OR MORE RACES HOUSEHOLDER),Occupied housing units with a householder who is Two or More Races
B25003H,"TENURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)","Occupied housing units with a householder who is White alone, not Hispanic or Latino"
B25003I,TENURE (HISPANIC OR LATINO HOUSEHOLDER),Occupied housing units with a householder who is Hispanic or Latino
B25004,VACANCY STATUS,Vacant housing units
B25005,VACANT - CURRENT RESIDENCE ELSEWHERE,Vacant housing units
B25006,RACE OF HOUSEHOLDER,Occupied housing units
B25007,TENURE BY AGE OF HOUSEHOLDER,Occupied housing units
B25008,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE,Total population in occupied housing units
B25009,TENURE BY HOUSEHOLD SIZE,Occupied housing units
B25010,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE,Occupied housing units
B25011,TENURE BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER,Occupied housing units
B25012,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Occupied housing units
B25013,TENURE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,Occupied housing units
B25014,TENURE BY OCCUPANTS PER ROOM,Occupied housing units
B25014A,OCCUPANTS PER ROOM (WHITE ALONE HOUSEHOLDER),Occupied housing units with a householder who is White alone
B25014B,OCCUPANTS PER ROOM (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),Occupied housing units with a householder who is Black or African American alone
B25014C,OCCUPANTS PER ROOM (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),Occupied housing units with a householder who is American Indian and Alaska Native alone
B25014D,OCCUPANTS PER ROOM (ASIAN ALONE HOUSEHOLDER),Occupied housing units with a householder who is Asian alone
B25014E,OCCUPANTS PER ROOM (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone
B25014F,OCCUPANTS PER ROOM (SOME OTHER RACE ALONE HOUSEHOLDER),Occupied housing units with a householder who is Some Other Race alone
B25014G,OCCUPANTS PER ROOM (TWO OR MORE RACES HOUSEHOLDER),Occupied housing units with a householder who is Two or More Races
B25014H,"OCCUPANTS PER ROOM (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)","Occupied housing units with a householder who is White alone, not Hispanic or Latino"
B25014I,OCCUPANTS PER ROOM (HISPANIC OR LATINO HOUSEHOLDER),Occupied housing units with a householder who is Hispanic or Latino
B25015,TENURE BY AGE OF HOUSEHOLDER BY OCCUPANTS PER ROOM,Occupied housing units
B25016,TENURE BY PLUMBING FACILITIES BY OCCUPANTS PER ROOM,Occupied housing units
B25017,ROOMS,Housing units
B25018,MEDIAN NUMBER OF ROOMS,Housing units
B25019,AGGREGATE NUMBER OF ROOMS,Housing units
B25020,TENURE BY ROOMS,Occupied housing units
B25021,MEDIAN NUMBER OF ROOMS BY TENURE,Occupied housing units
B25022,AGGREGATE NUMBER OF ROOMS BY TENURE,Occupied housing units
B25024,UNITS IN STRUCTURE,Housing units
B25026,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT,Total population in occupied housing units
B25027,MORTGAGE STATUS BY AGE OF HOUSEHOLDER,Owner-occupied housing units
B25031,MEDIAN GROSS RENT BY BEDROOMS,Renter-occupied housing units paying cash rent
B25032,TENURE BY UNITS IN STRUCTURE,Occupied housing units
B25032A,UNITS IN STRUCTURE (WHITE ALONE HOUSEHOLDER),Occupied housing units with a householder who is White alone
B25032B,UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),Occupied housing units with a householder who is Black or African American alone
B25032C,UNITS IN STRUCTURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),Occupied housing units with a householder who is American Indian and Alaska Native alone
B25032D,UNITS IN STRUCTURE (ASIAN ALONE HOUSEHOLDER),Occupied housing units with a householder who is Asian alone
B25032E,UNITS IN STRUCTURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone
B25032F,UNITS IN STRUCTURE (SOME OTHER RACE ALONE HOUSEHOLDER),Occupied housing units with a householder who is Some Other Race alone
B25032G,UNITS IN STRUCTURE (TWO OR MORE RACES HOUSEHOLDER),Occupied housing units with a householder who is Two or More Races
B25032H,"UNITS IN STRUCTURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)","Occupied housing units with a householder who is White alone, not Hispanic or Latino"
B25032I,UNITS IN STRUCTURE (HISPANIC OR LATINO HOUSEHOLDER),Occupied housing units with a householder who is Hispanic or Latino
B25033,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE BY UNITS IN STRUCTURE,Total population in occupied housing units
B25034,YEAR STRUCTURE BUILT,Housing units
B25035,MEDIAN YEAR STRUCTURE BUILT,Housing units
B25036,TENURE BY YEAR STRUCTURE BUILT,Occupied housing units
B25037,MEDIAN YEAR STRUCTURE BUILT BY TENURE,Occupied housing units
B25038,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT,Occupied housing units
B25039,MEDIAN YEAR HOUSEHOLDER MOVED INTO UNIT BY TENURE,Occupied housing units
B25040,HOUSE HEATING FUEL,Occupied housing units
B25041,BEDROOMS,Housing units
B25042,TENURE BY BEDROOMS,Occupied housing units
B25043,TENURE BY TELEPHONE SERVICE AVAILABLE BY AGE OF HOUSEHOLDER,Occupied housing units
B25044,TENURE BY VEHICLES AVAILABLE,Occupied housing units
B25045,TENURE BY VEHICLES AVAILABLE BY AGE OF HOUSEHOLDER,Occupied housing units
B25046,AGGREGATE NUMBER OF VEHICLES AVAILABLE BY TENURE,Occupied housing units
B25047,PLUMBING FACILITIES FOR ALL HOUSING UNITS,Housing units
B25048,PLUMBING FACILITIES FOR OCCUPIED HOUSING UNITS,Occupied housing units
B25049,TENURE BY PLUMBING FACILITIES,Occupied housing units
B25050,PLUMBING FACILITIES BY OCCUPANTS PER ROOM BY YEAR STRUCTURE BUILT,Occupied housing units
B25051,KITCHEN FACILITIES FOR ALL HOUSING UNITS,Housing units
B25052,KITCHEN FACILITIES FOR OCCUPIED HOUSING UNITS,Occupied housing units
B25053,TENURE BY KITCHEN FACILITIES,Occupied housing units
B25054,KITCHEN FACILITIES BY MEALS INCLUDED IN RENT,Renter-occupied housing units paying cash rent
B25055,AGE OF HOUSEHOLDER BY MEALS INCLUDED IN RENT,Renter-occupied housing units paying cash rent
B25056,CONTRACT RENT,Renter-occupied housing units
B25057,LOWER CONTRACT RENT QUARTILE (DOLLARS),Renter-occupied housing units paying cash rent
B25058,MEDIAN CONTRACT RENT (DOLLARS),Renter-occupied housing units paying cash rent
B25059,UPPER CONTRACT RENT QUARTILE (DOLLARS),Renter-occupied housing units paying cash rent
B25060,AGGREGATE CONTRACT RENT (DOLLARS),Renter-occupied housing units paying cash rent
B25061,RENT ASKED,"Vacant-for-rent and rented, not occupied housing units"
B25062,AGGREGATE RENT ASKED (DOLLARS),"Vacant-for-rent and rented, not occupied housing units"
B25063,GROSS RENT,Renter-occupied housing units
B25064,MEDIAN GROSS RENT (DOLLARS),Renter-occupied housing units paying cash rent
B25065,AGGREGATE GROSS RENT (DOLLARS),Renter-occupied housing units paying cash rent
B25066,AGGREGATE GROSS RENT (DOLLARS) BY UNITS IN STRUCTURE,Renter-occupied housing units paying cash rent
B25067,AGGREGATE GROSS RENT (DOLLARS) BY MEALS INCLUDED IN RENT,Renter-occupied housing units paying cash rent
B25068,BEDROOMS BY GROSS RENT,Renter-occupied housing units
B25069,INCLUSION OF UTILITIES IN RENT,Renter-occupied housing units
B25070,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Renter-occupied housing units
B25071,MEDIAN GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS (DOLLARS),Renter-occupied housing units paying cash rent
B25072,AGE OF HOUSEHOLDER BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Renter-occupied housing units
B25074,HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Renter-occupied housing units
B25075,VALUE,Owner-occupied housing units
B25076,LOWER VALUE QUARTILE (DOLLARS),Owner-occupied housing units
B25077,MEDIAN VALUE (DOLLARS),Owner-occupied housing units
B25078,UPPER VALUE QUARTILE (DOLLARS),Owner-occupied housing units
B25079,AGGREGATE VALUE (DOLLARS) BY AGE OF HOUSEHOLDER,Owner-occupied housing units
B25080,AGGREGATE VALUE (DOLLARS) BY UNITS IN STRUCTURE,Owner-occupied housing units
B25081,MORTGAGE STATUS,Owner-occupied housing units
B25082,AGGREGATE VALUE (DOLLARS) BY MORTGAGE STATUS,Owner-occupied housing units
B25083,MEDIAN VALUE (DOLLARS) FOR MOBILE HOMES,Owner-occupied mobile homes
B25085,PRICE ASKED,"Vacant-for-sale-only and sold, not occupied housing units"
B25086,AGGREGATE PRICE ASKED (DOLLARS),"Vacant-for-sale-only and sold, not occupied housing units"
B25087,MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,Owner-occupied housing units
B25088,MEDIAN SELECTED MONTHLY OWNER COSTS (DOLLARS) BY MORTGAGE STATUS,Owner-occupied housing units
B25089,AGGREGATE SELECTED MONTHLY OWNER COSTS (DOLLARS) BY MORTGAGE STATUS,Owner-occupied housing units
B25090,MORTGAGE STATUS BY AGGREGATE REAL ESTATE TAXES PAID (DOLLARS),Owner-occupied housing units
B25091,MORTGAGE STATUS BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Owner-occupied housing units
B25092,MEDIAN SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Owner-occupied housing units
B25093,AGE OF HOUSEHOLDER BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Owner-occupied housing units
B25094,SELECTED MONTHLY OWNER COSTS,Owner-occupied housing units
B25095,HOUSEHOLD INCOME BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Owner-occupied housing units
B25096,MORTGAGE STATUS BY VALUE,Owner-occupied housing units
B25097,MORTGAGE STATUS BY MEDIAN VALUE (DOLLARS),Owner-occupied housing units
B25098,MORTGAGE STATUS BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),Owner-occupied housing units
B25099,MORTGAGE STATUS BY MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),Owner-occupied housing units
B25100,MORTGAGE STATUS BY RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Owner-occupied housing units
B25101,MORTGAGE STATUS BY MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Owner-occupied housing units
B25102,MORTGAGE STATUS BY REAL ESTATE TAXES PAID,Owner-occupied housing units
B25103,MORTGAGE STATUS BY MEDIAN REAL ESTATE TAXES PAID (DOLLARS),Owner-occupied housing units
B25104,MONTHLY HOUSING COSTS,Occupied housing units
B25105,MEDIAN MONTHLY HOUSING COSTS (DOLLARS),Occupied housing units with monthly housing costs
B25106,TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Occupied housing units
B25107,MEDIAN VALUE BY YEAR STRUCTURE BUILT,Owner-occupied housing units
B25108,AGGREGATE VALUE (DOLLARS) BY YEAR STRUCTURE BUILT,Owner-occupied housing units
B25109,MEDIAN VALUE BY YEAR HOUSEHOLDER MOVED INTO UNIT,Owner-occupied housing units
B25110,AGGREGATE VALUE (DOLLARS) BY YEAR HOUSEHOLDER MOVED INTO UNIT,Owner-occupied housing units
B25111,MEDIAN GROSS RENT BY YEAR STRUCTURE BUILT,Renter-occupied housing units paying cash rent
B25112,AGGREGATE GROSS RENT (DOLLARS) BY YEAR STRUCTURE BUILT,Renter-occupied housing units
B25113,MEDIAN GROSS RENT BY YEAR HOUSEHOLDER MOVED INTO UNIT,Renter-occupied housing units paying cash rent
B25114,AGGREGATE GROSS RENT (DOLLARS) BY YEAR HOUSEHOLDER MOVED INTO UNIT,Renter-occupied housing units
B25115,TENURE BY HOUSEHOLD TYPE AND PRESENCE AND AGE OF OWN CHILDREN,Occupied housing units
B25116,TENURE BY HOUSEHOLD SIZE BY AGE OF HOUSEHOLDER,Occupied housing units
B25117,TENURE BY HOUSE HEATING FUEL,Occupied housing units
B25118,TENURE BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),Occupied housing units
B25119,MEDIAN HOUSEHOLD INCOME THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY TENURE,Occupied housing units
B25120,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY TENURE AND MORTGAGE STATUS,Occupied housing units
B25121,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY VALUE,Owner-occupied housing units
B25122,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT,Renter-occupied housing units
B25123,TENURE BY SELECTED PHYSICAL AND FINANCIAL CONDITIONS,Occupied housing units
B25124,TENURE BY HOUSEHOLD SIZE BY UNITS IN STRUCTURE,Occupied housing units
B25125,TENURE BY AGE OF HOUSEHOLDER BY UNITS IN STRUCTURE,Occupied housing units
B25126,TENURE BY AGE OF HOUSEHOLDER BY YEAR STRUCTURE BUILT,Occupied housing units
B25127,TENURE BY YEAR STRUCTURE BUILT BY UNITS IN STRUCTURE,Occupied housing units
B25128,TENURE BY AGE OF HOUSEHOLDER BY YEAR HOUSEHOLDER MOVED INTO UNIT,Occupied housing units
B25129,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT BY UNITS IN STRUCTURE,Occupied housing units
B25132,MONTHLY ELECTRICITY COSTS,Occupied housing units
B25133,MONTHLY GAS COSTS,Occupied housing units
B25134,ANNUAL WATER AND SEWER COSTS,Occupied housing units
B25135,ANNUAL OTHER FUEL COSTS,Occupied housing units
